zip,week,deaths_weekly,wave,population,alpha_vaxleveldec,alpha_recoveredleveldec,dec65plus
60601,0,1,0,15083,3.8200000000000003,0.6663130676921036,1.3982629450374595
60601,1,0,0,15083,3.8200000000000003,0.6663130676921036,1.3982629450374595
60601,2,0,0,15083,3.8200000000000003,0.6663130676921036,1.3982629450374595
60601,3,1,0,15083,3.8200000000000003,0.6663130676921036,1.3982629450374595
60601,4,0,0,15083,3.8200000000000003,0.6663130676921036,1.3982629450374595
60601,5,0,0,15083,3.8200000000000003,0.6663130676921036,1.3982629450374595
60601,6,0,0,15083,3.8200000000000003,0.6663130676921036,1.3982629450374595
60601,7,0,0,15083,3.8200000000000003,0.6663130676921036,1.3982629450374595
60601,8,0,0,15083,3.8200000000000003,0.6663130676921036,1.3982629450374595
60601,9,0,0,15083,3.8200000000000003,0.6663130676921036,1.3982629450374595
60601,10,0,0,15083,3.8200000000000003,0.6663130676921036,1.3982629450374595
60601,11,0,0,15083,3.8200000000000003,0.6663130676921036,1.3982629450374595
60601,12,0,0,15083,3.8200000000000003,0.6663130676921036,1.3982629450374595
60601,13,0,0,15083,3.8200000000000003,0.6663130676921036,1.3982629450374595
60601,14,0,0,15083,3.8200000000000003,0.6663130676921036,1.3982629450374595
60601,15,0,0,15083,3.8200000000000003,0.6663130676921036,1.3982629450374595
60601,16,0,1,15083,3.8200000000000003,0.6663130676921036,1.3982629450374595
60601,17,0,1,15083,3.8200000000000003,0.6663130676921036,1.3982629450374595
60601,18,0,1,15083,3.8200000000000003,0.6663130676921036,1.3982629450374595
60601,19,0,1,15083,3.8200000000000003,0.6663130676921036,1.3982629450374595
60601,20,0,1,15083,3.8200000000000003,0.6663130676921036,1.3982629450374595
60601,21,1,1,15083,3.8200000000000003,0.6663130676921036,1.3982629450374595
60601,22,0,1,15083,3.8200000000000003,0.6663130676921036,1.3982629450374595
60601,23,0,1,15083,3.8200000000000003,0.6663130676921036,1.3982629450374595
60601,24,0,1,15083,3.8200000000000003,0.6663130676921036,1.3982629450374595
60601,25,0,1,15083,3.8200000000000003,0.6663130676921036,1.3982629450374595
60601,26,0,1,15083,3.8200000000000003,0.6663130676921036,1.3982629450374595
60605,0,0,0,29060,4.29,0.6283551273227804,1.0058499655884376
60605,1,1,0,29060,4.29,0.6283551273227804,1.0058499655884376
60605,2,1,0,29060,4.29,0.6283551273227804,1.0058499655884376
60605,3,0,0,29060,4.29,0.6283551273227804,1.0058499655884376
60605,4,1,0,29060,4.29,0.6283551273227804,1.0058499655884376
60605,5,0,0,29060,4.29,0.6283551273227804,1.0058499655884376
60605,6,0,0,29060,4.29,0.6283551273227804,1.0058499655884376
60605,7,0,0,29060,4.29,0.6283551273227804,1.0058499655884376
60605,8,0,0,29060,4.29,0.6283551273227804,1.0058499655884376
60605,9,0,0,29060,4.29,0.6283551273227804,1.0058499655884376
60605,10,1,0,29060,4.29,0.6283551273227804,1.0058499655884376
60605,11,0,0,29060,4.29,0.6283551273227804,1.0058499655884376
60605,12,0,0,29060,4.29,0.6283551273227804,1.0058499655884376
60605,13,0,0,29060,4.29,0.6283551273227804,1.0058499655884376
60605,14,0,0,29060,4.29,0.6283551273227804,1.0058499655884376
60605,15,0,0,29060,4.29,0.6283551273227804,1.0058499655884376
60605,16,0,1,29060,4.29,0.6283551273227804,1.0058499655884376
60605,17,0,1,29060,4.29,0.6283551273227804,1.0058499655884376
60605,18,0,1,29060,4.29,0.6283551273227804,1.0058499655884376
60605,19,0,1,29060,4.29,0.6283551273227804,1.0058499655884376
