zip,week,deaths_weekly,wave,population,delta_vaxleveldec,delta_recoveredleveldec,dec65plus
60601,0,1,0,15083,7.910000000000001,0.7558178081283564,1.3982629450374595
60601,1,0,0,15083,7.910000000000001,0.7558178081283564,1.3982629450374595
60601,2,0,0,15083,7.910000000000001,0.7558178081283564,1.3982629450374595
60601,3,0,0,15083,7.910000000000001,0.7558178081283564,1.3982629450374595
60601,4,0,0,15083,7.910000000000001,0.7558178081283564,1.3982629450374595
60601,5,0,0,15083,7.910000000000001,0.7558178081283564,1.3982629450374595
60601,6,0,0,15083,7.910000000000001,0.7558178081283564,1.3982629450374595
60601,7,0,0,15083,7.910000000000001,0.7558178081283564,1.3982629450374595
60601,8,0,0,15083,7.910000000000001,0.7558178081283564,1.3982629450374595
60601,9,0,0,15083,7.910000000000001,0.7558178081283564,1.3982629450374595
60601,10,0,0,15083,7.910000000000001,0.7558178081283564,1.3982629450374595
60601,11,0,0,15083,7.910000000000001,0.7558178081283564,1.3982629450374595
60601,12,0,0,15083,7.910000000000001,0.7558178081283564,1.3982629450374595
60601,13,0,1,15083,7.910000000000001,0.7558178081283564,1.3982629450374595
60601,14,0,1,15083,7.910000000000001,0.7558178081283564,1.3982629450374595
60601,15,0,1,15083,7.910000000000001,0.7558178081283564,1.3982629450374595
60601,16,0,1,15083,7.910000000000001,0.7558178081283564,1.3982629450374595
60601,17,0,1,15083,7.910000000000001,0.7558178081283564,1.3982629450374595
60601,18,0,1,15083,7.910000000000001,0.7558178081283564,1.3982629450374595
60601,19,0,1,15083,7.910000000000001,0.7558178081283564,1.3982629450374595
60601,20,0,1,15083,7.910000000000001,0.7558178081283564,1.3982629450374595
60601,21,0,1,15083,7.910000000000001,0.7558178081283564,1.3982629450374595
60601,22,0,1,15083,7.910000000000001,0.7558178081283564,1.3982629450374595
60601,23,0,1,15083,7.910000000000001,0.7558178081283564,1.3982629450374595
60601,24,0,1,15083,7.910000000000001,0.7558178081283564,1.3982629450374595
60601,25,0,1,15083,7.910000000000001,0.7558178081283564,1.3982629450374595
60605,0,0,0,29060,7.2,0.7102546455609084,1.0058499655884376
60605,1,0,0,29060,7.2,0.7102546455609084,1.0058499655884376
60605,2,0,0,29060,7.2,0.7102546455609084,1.0058499655884376
60605,3,1,0,29060,7.2,0.7102546455609084,1.0058499655884376
60605,4,0,0,29060,7.2,0.7102546455609084,1.0058499655884376
60605,5,0,0,29060,7.2,0.7102546455609084,1.0058499655884376
60605,6,0,0,29060,7.2,0.7102546455609084,1.0058499655884376
60605,7,0,0,29060,7.2,0.7102546455609084,1.0058499655884376
60605,8,0,0,29060,7.2,0.7102546455609084,1.0058499655884376
60605,9,0,0,29060,7.2,0.7102546455609084,1.0058499655884376
60605,10,0,0,29060,7.2,0.7102546455609084,1.0058499655884376
60605,11,0,0,29060,7.2,0.7102546455609084,1.0058499655884376
60605,12,0,0,29060,7.2,0.7102546455609084,1.0058499655884376
60605,13,0,1,29060,7.2,0.7102546455609084,1.0058499655884376
60605,14,0,1,29060,7.2,0.7102546455609084,1.0058499655884376
60605,15,0,1,29060,7.2,0.7102546455609084,1.0058499655884376
60605,16,0,1,29060,7.2,0.7102546455609084,1.0058499655884376
60605,17,0,1,29060,7.2,0.7102546455609084,1.0058499655884376
60605,18,0,1,29060,7.2,0.7102546455609084,1.0058499655884376
60605,19,1,1,29060,7.2,0.7102546455609084,1.0058499655884376
60605,20,0,1,29060,7.2,0.7102546455609084,1.0058499655884376
60605,21,0,1,29060,7.2,0.7102546455609084,1.0058499655884376
